case_id,date,complaint_type,building_age,borough,days_since_last_service,time_of_day,season,status
2083,2025-05-19 12:00:54.608388,Meter Issue,44,Queens,88,Night,Fall,Found Okay
2084,2025-02-20 12:00:54.608392,Meter Issue,66,Manhattan,360,Evening,Spring,Found Okay
2085,2025-02-12 12:00:54.608396,Meter Issue,48,Staten Island,374,Evening,Winter,Needs Repair
2086,2025-05-03 12:00:54.608400,No Hot Water,42,Bronx,433,Evening,Fall,Found Okay
2087,2025-02-05 12:00:54.608404,Power Out,36,Queens,183,Evening,Spring,Found Okay
2088,2024-11-04 12:00:54.608408,Meter Issue,59,Queens,40,Evening,Winter,Needs Repair
2089,2025-05-19 12:00:54.608412,No Hot Water,70,Manhattan,17,Night,Fall,Found Okay
2090,2024-11-28 12:00:54.608415,Meter Issue,65,Manhattan,443,Morning,Summer,Found Okay
2091,2025-05-15 12:00:54.608419,No Hot Water,59,Staten Island,10,Afternoon,Summer,Needs Repair
2092,2025-02-22 12:00:54.608423,Gas Smell,27,Staten Island,63,Morning,Fall,Needs Repair
2093,2024-09-10 12:00:54.608427,Power Out,44,Staten Island,120,Morning,Fall,Needs Repair
2094,2025-04-24 12:00:54.608431,Meter Issue,79,Brooklyn,3,Morning,Winter,Found Okay
2095,2025-04-20 12:00:54.608434,No Heat,66,Brooklyn,427,Afternoon,Spring,Found Okay
2096,2025-03-21 12:00:54.608438,Power Out,26,Queens,60,Evening,Spring,Found Okay
2097,2025-04-20 12:00:54.608442,No Hot Water,49,Manhattan,5,Night,Fall,Found Okay
2098,2025-07-12 12:00:54.608446,No Heat,55,Bronx,908,Night,Summer,Found Okay
2099,2025-05-10 12:00:54.608449,Power Out,38,Manhattan,67,Morning,Spring,Found Okay
2100,2024-10-25 12:00:54.608454,Gas Smell,15,Brooklyn,376,Night,Fall,Needs Repair
2101,2024-08-26 12:00:54.608457,Power Out,51,Queens,108,Afternoon,Spring,Needs Repair
2102,2024-07-31 12:00:54.608461,No Hot Water,38,Bronx,195,Morning,Winter,Found Okay
2103,2024-09-03 12:00:54.608465,No Hot Water,38,Staten Island,49,Afternoon,Fall,Found Okay
2104,2025-03-24 12:00:54.608469,Gas Smell,44,Staten Island,125,Morning,Summer,Found Okay
2105,2024-08-21 12:00:54.608473,No Hot Water,47,Brooklyn,53,Evening,Summer,Found Okay
2106,2024-09-24 12:00:54.608477,No Heat,49,Queens,543,Night,Winter,Needs Repair
2107,2025-05-03 12:00:54.608481,Meter Issue,36,Manhattan,11,Night,Winter,Found Okay
2108,2024-12-30 12:00:54.608485,No Hot Water,46,Brooklyn,57,Afternoon,Summer,Found Okay
2109,2025-03-10 12:00:54.608489,Power Out,23,Manhattan,402,Night,Summer,Found Okay
2110,2025-05-27 12:00:54.608493,No Hot Water,54,Bronx,117,Morning,Winter,Found Okay
2111,2025-05-16 12:00:54.608496,No Hot Water,7,Manhattan,164,Evening,Summer,Found Okay
2112,2025-01-13 12:00:54.608500,No Hot Water,45,Bronx,189,Night,Summer,Found Okay
2113,2025-03-10 12:00:54.608504,No Hot Water,63,Queens,13,Evening,Spring,Needs Repair
2114,2024-09-18 12:00:54.608508,No Hot Water,34,Brooklyn,3,Afternoon,Summer,Found Okay
2115,2025-04-29 12:00:54.608511,No Hot Water,60,Manhattan,500,Evening,Winter,Found Okay
2116,2024-09-29 12:00:54.608515,No Hot Water,67,Queens,57,Night,Spring,Needs Repair
2117,2024-12-19 12:00:54.608518,No Heat,0,Queens,86,Night,Spring,Found Okay
2118,2024-10-13 12:00:54.608521,No Hot Water,47,Manhattan,206,Afternoon,Summer,Found Okay
2119,2025-04-20 12:00:54.608525,No Heat,6,Staten Island,48,Afternoon,Spring,Found Okay
2120,2024-11-06 12:00:54.608528,No Heat,48,Staten Island,237,Evening,Fall,Found Okay
2121,2024-08-10 12:00:54.608531,Meter Issue,49,Bronx,110,Evening,Winter,Found Okay
2122,2025-04-12 12:00:54.608535,Gas Smell,12,Queens,349,Afternoon,Winter,Needs Repair
2123,2024-09-04 12:00:54.608538,Power Out,78,Brooklyn,58,Night,Summer,Found Okay
2124,2024-11-08 12:00:54.608541,No Hot Water,54,Brooklyn,41,Evening,Summer,Found Okay
2125,2025-07-28 12:00:54.608545,Meter Issue,37,Queens,320,Afternoon,Winter,Needs Repair
2126,2025-05-07 12:00:54.608548,Gas Smell,71,Staten Island,71,Evening,Winter,Needs Repair
2127,2024-10-22 12:00:54.608551,Power Out,23,Queens,95,Afternoon,Summer,Found Okay
2128,2024-09-06 12:00:54.608554,No Hot Water,31,Bronx,284,Night,Winter,Found Okay
2129,2024-09-30 12:00:54.608558,Meter Issue,15,Queens,181,Evening,Summer,Needs Repair
2130,2025-04-05 12:00:54.608561,Power Out,77,Manhattan,104,Evening,Spring,Found Okay
2131,2024-12-22 12:00:54.608564,Meter Issue,54,Staten Island,51,Morning,Fall,Needs Repair
2132,2025-02-27 12:00:54.608568,No Heat,59,Manhattan,260,Morning,Fall,Found Okay
2133,2025-02-28 12:00:54.608571,No Heat,54,Manhattan,35,Night,Fall,Needs Repair
2134,2025-07-19 12:00:54.608574,No Heat,58,Queens,474,Afternoon,Spring,Needs Repair
2135,2025-03-20 12:00:54.608577,No Heat,51,Queens,29,Morning,Summer,Found Okay
2136,2024-09-30 12:00:54.608581,Meter Issue,54,Brooklyn,294,Morning,Summer,Found Okay
2137,2024-10-11 12:00:54.608584,No Heat,51,Manhattan,99,Night,Summer,Found Okay
2138,2024-10-04 12:00:54.608587,No Heat,40,Queens,37,Afternoon,Winter,Found Okay
2139,2024-12-15 12:00:54.608591,No Heat,49,Brooklyn,92,Night,Fall,Found Okay
2140,2024-11-02 12:00:54.608594,No Heat,54,Manhattan,45,Evening,Summer,Found Okay
2141,2025-06-18 12:00:54.608597,No Heat,51,Brooklyn,26,Evening,Summer,Found Okay
2142,2024-08-22 12:00:54.608600,Power Out,27,Staten Island,49,Afternoon,Spring,Found Okay
2143,2024-09-08 12:00:54.608604,Gas Smell,29,Bronx,363,Morning,Summer,Needs Repair
2144,2024-10-02 12:00:54.608607,No Heat,66,Manhattan,20,Night,Fall,Found Okay
2145,2024-08-01 12:00:54.608610,No Hot Water,45,Queens,647,Night,Summer,Found Okay
2146,2025-07-10 12:00:54.608614,No Hot Water,58,Staten Island,0,Evening,Spring,Found Okay
2147,2025-04-15 12:00:54.608617,No Heat,33,Brooklyn,193,Night,Fall,Found Okay
2148,2024-08-29 12:00:54.608620,Power Out,27,Bronx,349,Morning,Winter,Found Okay
2149,2024-10-01 12:00:54.608624,Power Out,37,Manhattan,489,Afternoon,Summer,Found Okay
2150,2025-04-05 12:00:54.608627,Power Out,46,Bronx,27,Night,Summer,Found Okay
2151,2025-03-29 12:00:54.608630,Power Out,40,Staten Island,215,Morning,Summer,Found Okay
2152,2024-10-23 12:00:54.608634,No Heat,69,Bronx,20,Afternoon,Summer,Found Okay
2153,2024-10-12 12:00:54.608637,Meter Issue,52,Manhattan,78,Night,Spring,Found Okay
2154,2025-01-09 12:00:54.608640,Power Out,77,Staten Island,236,Night,Spring,Found Okay
2155,2025-06-10 12:00:54.608643,Meter Issue,56,Brooklyn,76,Afternoon,Fall,Found Okay
2156,2024-11-02 12:00:54.608647,No Heat,13,Manhattan,67,Night,Spring,Found Okay
2157,2024-09-10 12:00:54.608650,Meter Issue,65,Bronx,22,Night,Summer,Found Okay
2158,2024-10-27 12:00:54.608653,Power Out,27,Manhattan,12,Night,Fall,Found Okay
2159,2025-03-12 12:00:54.608656,Power Out,53,Staten Island,22,Evening,Winter,Found Okay
2160,2024-10-29 12:00:54.608660,No Heat,38,Bronx,374,Afternoon,Fall,Found Okay
2161,2024-10-14 12:00:54.608663,Power Out,82,Brooklyn,2,Evening,Summer,Found Okay
2162,2024-08-31 12:00:54.608666,Meter Issue,71,Queens,212,Afternoon,Summer,Found Okay
2163,2025-06-09 12:00:54.608670,Power Out,38,Brooklyn,263,Evening,Winter,Found Okay
2164,2025-07-04 12:00:54.608673,Gas Smell,48,Manhattan,151,Night,Summer,Needs Repair
2165,2025-02-24 12:00:54.608676,Meter Issue,53,Queens,236,Morning,Fall,Found Okay
2166,2024-12-04 12:00:54.608680,No Hot Water,62,Staten Island,190,Afternoon,Spring,Found Okay
2167,2025-02-25 12:00:54.608683,Gas Smell,50,Bronx,109,Morning,Spring,Needs Repair
2168,2024-10-13 12:00:54.608686,No Hot Water,34,Bronx,86,Afternoon,Fall,Found Okay
2169,2025-03-17 12:00:54.608690,Meter Issue,39,Staten Island,510,Afternoon,Fall,Found Okay
2170,2025-03-09 12:00:54.608693,No Heat,49,Manhattan,643,Night,Fall,Found Okay
2171,2025-04-16 12:00:54.608696,No Hot Water,68,Brooklyn,189,Afternoon,Winter,Found Okay
2172,2025-02-23 12:00:54.608699,Power Out,56,Queens,39,Night,Spring,Found Okay
2173,2025-03-07 12:00:54.608703,Power Out,38,Staten Island,106,Night,Winter,Needs Repair
2174,2025-07-29 12:00:54.608706,Gas Smell,59,Manhattan,123,Night,Winter,Needs Repair
2175,2025-05-15 12:00:54.608709,Meter Issue,44,Manhattan,255,Evening,Summer,Found Okay
2176,2025-03-21 12:00:54.608712,Meter Issue,63,Queens,198,Evening,Spring,Found Okay
2177,2025-05-02 12:00:54.608715,No Heat,87,Staten Island,130,Night,Winter,Found Okay
2178,2024-08-20 12:00:54.608719,No Hot Water,44,Brooklyn,205,Morning,Fall,Found Okay
2179,2024-08-15 12:00:54.608722,No Heat,62,Brooklyn,4,Morning,Fall,Needs Repair
2180,2024-11-10 12:00:54.608725,No Hot Water,38,Staten Island,269,Afternoon,Fall,Found Okay
2181,2024-08-14 12:00:54.608729,No Hot Water,48,Bronx,42,Morning,Summer,Found Okay
2182,2025-04-14 12:00:54.608732,Meter Issue,50,Brooklyn,192,Afternoon,Winter,Found Okay
2183,2025-05-18 12:00:54.608735,Power Out,47,Bronx,21,Afternoon,Spring,Needs Repair
2184,2025-06-22 12:00:54.608738,No Heat,86,Staten Island,21,Afternoon,Spring,Found Okay
2185,2025-02-22 12:00:54.608741,No Heat,45,Manhattan,6,Evening,Summer,Found Okay
2186,2025-05-21 12:00:54.608745,Gas Smell,58,Staten Island,433,Night,Fall,Needs Repair
2187,2024-09-22 12:00:54.608748,No Hot Water,21,Manhattan,166,Morning,Fall,Found Okay
2188,2024-12-02 12:00:54.608751,No Heat,56,Staten Island,80,Night,Winter,Needs Repair
2189,2024-10-06 12:00:54.608755,Meter Issue,67,Bronx,279,Night,Spring,Found Okay
2190,2025-06-25 12:00:54.608758,Meter Issue,42,Bronx,177,Evening,Spring,Found Okay
2191,2025-05-08 12:00:54.608761,No Hot Water,12,Staten Island,174,Afternoon,Fall,Found Okay
2192,2024-11-10 12:00:54.608764,Meter Issue,49,Manhattan,120,Night,Fall,Needs Repair
2193,2024-09-24 12:00:54.608768,No Hot Water,50,Staten Island,1,Afternoon,Spring,Found Okay
2194,2025-02-09 12:00:54.608771,Power Out,60,Manhattan,53,Evening,Spring,Found Okay
2195,2025-02-08 12:00:54.608774,No Hot Water,80,Bronx,20,Night,Spring,Needs Repair
2196,2024-08-03 12:00:54.608778,No Heat,44,Queens,195,Morning,Winter,Needs Repair
2197,2025-06-14 12:00:54.608781,Meter Issue,37,Brooklyn,51,Night,Winter,Found Okay
2198,2025-03-12 12:00:54.608784,No Hot Water,32,Bronx,107,Evening,Fall,Found Okay
2199,2025-04-04 12:00:54.608788,Power Out,52,Staten Island,78,Evening,Summer,Needs Repair
2200,2024-10-27 12:00:54.608791,No Hot Water,57,Staten Island,27,Night,Fall,Found Okay
2201,2024-12-29 12:00:54.608794,No Heat,41,Manhattan,572,Morning,Spring,Found Okay
2202,2024-12-23 12:00:54.608797,No Heat,61,Brooklyn,487,Afternoon,Summer,Found Okay
2203,2025-07-05 12:00:54.608800,No Hot Water,56,Bronx,15,Night,Winter,Found Okay
2204,2025-07-22 12:00:54.608804,Power Out,50,Brooklyn,316,Night,Fall,Found Okay
2205,2024-11-02 12:00:54.608807,No Hot Water,36,Brooklyn,120,Morning,Winter,Found Okay
2206,2025-07-21 12:00:54.608810,Power Out,42,Bronx,267,Morning,Summer,Found Okay
2207,2025-04-01 12:00:54.608813,Power Out,13,Manhattan,29,Evening,Winter,Found Okay
2208,2025-03-28 12:00:54.608816,Power Out,53,Manhattan,25,Afternoon,Spring,Found Okay
2209,2025-02-11 12:00:54.608820,No Hot Water,50,Manhattan,398,Afternoon,Spring,Found Okay
2210,2025-05-20 12:00:54.608823,Meter Issue,52,Queens,410,Night,Winter,Found Okay
2211,2025-03-01 12:00:54.608826,No Hot Water,57,Brooklyn,112,Afternoon,Fall,Found Okay
2212,2025-01-04 12:00:54.608829,No Hot Water,55,Queens,367,Evening,Spring,Found Okay
2213,2025-06-12 12:00:54.608833,No Heat,48,Manhattan,198,Evening,Summer,Found Okay
2214,2025-02-27 12:00:54.608836,No Hot Water,50,Bronx,36,Morning,Fall,Found Okay
2215,2024-08-18 12:00:54.608839,No Heat,28,Brooklyn,71,Morning,Winter,Found Okay
2216,2024-10-11 12:00:54.608843,Gas Smell,41,Bronx,26,Evening,Summer,Needs Repair
2217,2025-05-24 12:00:54.608846,No Heat,50,Staten Island,267,Morning,Winter,Needs Repair
2218,2025-06-11 12:00:54.608849,No Hot Water,38,Brooklyn,758,Evening,Fall,Found Okay
2219,2025-03-01 12:00:54.608853,Power Out,62,Bronx,142,Morning,Spring,Found Okay
2220,2025-07-12 12:00:54.608856,No Hot Water,40,Manhattan,192,Night,Spring,Found Okay
2221,2025-04-22 12:00:54.608859,No Heat,53,Queens,246,Afternoon,Spring,Found Okay
2222,2025-06-01 12:00:54.608862,No Heat,51,Bronx,45,Evening,Spring,Found Okay
2223,2025-02-14 12:00:54.608865,Power Out,61,Staten Island,73,Morning,Summer,Found Okay
2224,2025-01-10 12:00:54.608869,No Heat,63,Manhattan,95,Evening,Summer,Found Okay
2225,2024-08-20 12:00:54.608872,No Hot Water,60,Staten Island,162,Night,Fall,Found Okay
2226,2025-03-07 12:00:54.608875,No Hot Water,18,Queens,342,Evening,Fall,Found Okay
2227,2025-02-17 12:00:54.608878,Power Out,67,Staten Island,52,Morning,Fall,Found Okay
2228,2024-12-01 12:00:54.608882,Gas Smell,72,Bronx,114,Morning,Winter,Needs Repair
2229,2025-05-23 12:00:54.608885,Power Out,42,Bronx,250,Evening,Spring,Needs Repair
2230,2025-02-06 12:00:54.608888,No Heat,53,Manhattan,16,Evening,Spring,Found Okay
2231,2025-06-12 12:00:54.608891,No Heat,36,Queens,129,Morning,Fall,Found Okay
2232,2025-04-14 12:00:54.608895,No Heat,20,Queens,28,Night,Fall,Found Okay
2233,2024-12-17 12:00:54.608898,No Heat,38,Brooklyn,139,Night,Summer,Found Okay
2234,2025-02-20 12:00:54.608901,No Heat,41,Brooklyn,262,Night,Spring,Found Okay
2235,2025-04-03 12:00:54.608905,No Hot Water,44,Bronx,48,Afternoon,Spring,Found Okay
2236,2025-03-04 12:00:54.608908,No Hot Water,35,Staten Island,340,Afternoon,Spring,Found Okay
2237,2025-03-03 12:00:54.608911,Power Out,38,Staten Island,73,Afternoon,Summer,Found Okay
2238,2024-10-11 12:00:54.608914,No Hot Water,49,Manhattan,38,Evening,Fall,Found Okay
2239,2025-03-10 12:00:54.608917,Power Out,38,Queens,112,Afternoon,Summer,Found Okay
2240,2025-02-21 12:00:54.608921,No Hot Water,58,Bronx,375,Evening,Fall,Found Okay
2241,2025-07-20 12:00:54.608924,No Heat,60,Staten Island,12,Night,Fall,Found Okay
2242,2025-03-15 12:00:54.608927,No Hot Water,85,Brooklyn,71,Morning,Fall,Needs Repair
2243,2025-05-14 12:00:54.608930,No Heat,66,Bronx,190,Afternoon,Fall,Found Okay
2244,2025-05-15 12:00:54.608934,No Heat,53,Manhattan,79,Morning,Spring,Needs Repair
2245,2024-11-19 12:00:54.608937,No Hot Water,40,Bronx,13,Afternoon,Summer,Found Okay
2246,2024-11-15 12:00:54.608940,Meter Issue,54,Staten Island,72,Afternoon,Spring,Found Okay
2247,2024-09-14 12:00:54.608943,Power Out,54,Manhattan,309,Morning,Winter,Found Okay
2248,2024-10-13 12:00:54.608947,No Heat,42,Brooklyn,619,Night,Spring,Found Okay
2249,2024-11-10 12:00:54.608950,Power Out,61,Brooklyn,7,Night,Fall,Found Okay
2250,2025-05-07 12:00:54.608953,Power Out,29,Staten Island,151,Night,Fall,Found Okay
2251,2025-03-07 12:00:54.608956,Gas Smell,46,Manhattan,20,Morning,Fall,Needs Repair
2252,2024-09-11 12:00:54.608960,Power Out,58,Brooklyn,205,Evening,Spring,Found Okay
2253,2025-06-19 12:00:54.608963,No Hot Water,45,Manhattan,1,Morning,Fall,Found Okay
2254,2025-03-28 12:00:54.608966,No Heat,46,Bronx,2,Evening,Winter,Needs Repair
2255,2025-02-14 12:00:54.608969,No Hot Water,47,Queens,270,Night,Spring,Found Okay
2256,2024-12-02 12:00:54.608973,No Hot Water,37,Queens,13,Evening,Spring,Found Okay
2257,2024-10-24 12:00:54.608976,No Hot Water,67,Queens,65,Night,Winter,Found Okay
2258,2025-01-24 12:00:54.608979,Gas Smell,34,Brooklyn,570,Night,Spring,Needs Repair
2259,2024-10-02 12:00:54.608983,Meter Issue,54,Staten Island,758,Night,Fall,Found Okay
2260,2025-07-12 12:00:54.608986,Meter Issue,56,Queens,31,Night,Fall,Found Okay
2261,2025-05-24 12:00:54.608989,Meter Issue,35,Staten Island,148,Morning,Winter,Found Okay
2262,2024-12-25 12:00:54.608992,Power Out,51,Queens,147,Afternoon,Winter,Found Okay
2263,2025-04-20 12:00:54.608995,Meter Issue,36,Bronx,108,Afternoon,Spring,Found Okay
2264,2025-06-19 12:00:54.608999,No Heat,70,Queens,465,Afternoon,Spring,Found Okay
2265,2024-10-16 12:00:54.609002,No Heat,32,Staten Island,252,Morning,Spring,Found Okay
2266,2025-02-14 12:00:54.609005,No Hot Water,40,Brooklyn,260,Night,Fall,Found Okay
2267,2025-04-13 12:00:54.609008,Power Out,31,Bronx,56,Night,Winter,Found Okay
2268,2025-06-25 12:00:54.609011,No Hot Water,29,Staten Island,102,Night,Fall,Found Okay
2269,2024-12-11 12:00:54.609015,Power Out,73,Manhattan,120,Afternoon,Winter,Found Okay
2270,2024-12-14 12:00:54.609018,No Heat,58,Queens,63,Night,Summer,Found Okay
2271,2024-08-12 12:00:54.609021,No Heat,52,Bronx,17,Evening,Winter,Needs Repair
2272,2025-02-17 12:00:54.609024,Power Out,40,Brooklyn,24,Morning,Summer,Found Okay
2273,2025-05-19 12:00:54.609027,No Heat,63,Manhattan,35,Night,Winter,Needs Repair
2274,2025-03-17 12:00:54.609031,No Hot Water,37,Queens,40,Night,Fall,Found Okay
2275,2024-08-12 12:00:54.609034,No Heat,61,Bronx,49,Night,Spring,Found Okay
2276,2025-05-22 12:00:54.609038,No Hot Water,36,Staten Island,53,Evening,Spring,Found Okay
2277,2025-01-16 12:00:54.609041,Power Out,40,Queens,109,Night,Spring,Found Okay
2278,2024-11-04 12:00:54.609044,No Hot Water,61,Bronx,128,Afternoon,Summer,Found Okay
2279,2025-06-12 12:00:54.609048,Gas Smell,62,Queens,66,Night,Spring,Needs Repair
2280,2024-09-18 12:00:54.609051,No Heat,58,Bronx,428,Afternoon,Fall,Found Okay
2281,2025-03-23 12:00:54.609054,Power Out,34,Staten Island,144,Afternoon,Fall,Found Okay
2282,2025-07-26 12:00:54.609057,No Hot Water,43,Queens,278,Night,Winter,Found Okay
2283,2025-07-04 12:00:54.609060,Gas Smell,52,Bronx,464,Evening,Spring,Needs Repair
2284,2025-02-21 12:00:54.609064,Power Out,37,Manhattan,32,Afternoon,Fall,Found Okay
2285,2025-03-04 12:00:54.609067,No Heat,70,Brooklyn,100,Night,Spring,Found Okay
2286,2024-11-09 12:00:54.609070,Meter Issue,13,Bronx,102,Night,Winter,Found Okay
2287,2024-12-13 12:00:54.609073,Gas Smell,38,Bronx,78,Evening,Summer,Found Okay
2288,2025-01-12 12:00:54.609076,No Hot Water,42,Bronx,1,Night,Fall,Found Okay
2289,2025-06-11 12:00:54.609080,No Heat,7,Queens,304,Morning,Fall,Found Okay
2290,2025-05-25 12:00:54.609083,Meter Issue,29,Brooklyn,21,Morning,Spring,Needs Repair
2291,2024-10-04 12:00:54.609086,Power Out,59,Queens,971,Morning,Summer,Found Okay
2292,2025-06-03 12:00:54.609089,No Heat,50,Bronx,266,Night,Fall,Found Okay
2293,2024-11-14 12:00:54.609093,No Hot Water,73,Bronx,156,Afternoon,Summer,Found Okay
2294,2024-08-23 12:00:54.609096,Power Out,73,Brooklyn,30,Evening,Spring,Found Okay
2295,2024-09-08 12:00:54.609099,Power Out,56,Manhattan,130,Night,Winter,Found Okay
2296,2025-03-23 12:00:54.609103,Power Out,54,Queens,54,Afternoon,Fall,Found Okay
2297,2024-12-28 12:00:54.609106,No Hot Water,50,Manhattan,52,Night,Summer,Found Okay
2298,2025-02-09 12:00:54.609109,Power Out,10,Bronx,318,Morning,Winter,Found Okay
2299,2024-11-15 12:00:54.609112,No Hot Water,29,Bronx,86,Morning,Summer,Found Okay
2300,2025-04-20 12:00:54.609116,No Heat,51,Staten Island,107,Afternoon,Spring,Found Okay
2301,2025-01-03 12:00:54.609119,Gas Smell,59,Staten Island,333,Afternoon,Winter,Needs Repair
2302,2024-10-13 12:00:54.609122,Meter Issue,54,Manhattan,16,Afternoon,Fall,Found Okay
2303,2024-08-11 12:00:54.609125,No Hot Water,36,Staten Island,162,Evening,Fall,Found Okay
2304,2024-10-18 12:00:54.609129,No Hot Water,64,Brooklyn,155,Afternoon,Winter,Found Okay
2305,2025-04-06 12:00:54.609132,Power Out,72,Manhattan,99,Morning,Summer,Found Okay
2306,2024-11-09 12:00:54.609135,No Hot Water,64,Staten Island,318,Morning,Winter,Found Okay
2307,2025-03-03 12:00:54.609138,Power Out,64,Staten Island,515,Evening,Spring,Found Okay
2308,2024-10-04 12:00:54.609142,Power Out,41,Brooklyn,112,Night,Fall,Found Okay
2309,2025-06-25 12:00:54.609145,No Heat,66,Brooklyn,109,Afternoon,Winter,Needs Repair
2310,2024-09-01 12:00:54.609151,Meter Issue,52,Manhattan,125,Evening,Fall,Found Okay
2311,2024-10-17 12:00:54.609154,Power Out,57,Queens,231,Night,Winter,Found Okay
2312,2024-10-01 12:00:54.609158,Meter Issue,55,Brooklyn,198,Night,Summer,Found Okay
2313,2024-09-23 12:00:54.609161,Power Out,48,Staten Island,45,Afternoon,Fall,Found Okay
2314,2025-01-04 12:00:54.609164,Meter Issue,37,Manhattan,11,Morning,Winter,Found Okay
2315,2025-04-16 12:00:54.609168,No Heat,48,Queens,536,Afternoon,Winter,Needs Repair
2316,2025-02-23 12:00:54.609171,No Hot Water,64,Manhattan,54,Afternoon,Spring,Found Okay
2317,2025-04-01 12:00:54.609174,Meter Issue,43,Staten Island,183,Morning,Fall,Found Okay
2318,2025-06-06 12:00:54.609178,No Heat,63,Queens,317,Morning,Winter,Needs Repair
2319,2025-07-19 12:00:54.609181,No Heat,61,Queens,64,Morning,Spring,Found Okay
2320,2025-03-08 12:00:54.609184,Power Out,45,Brooklyn,181,Night,Winter,Found Okay
2321,2025-03-17 12:00:54.609187,Power Out,70,Bronx,20,Night,Fall,Found Okay
2322,2025-07-28 12:00:54.609191,No Heat,44,Staten Island,630,Afternoon,Winter,Needs Repair
2323,2025-03-09 12:00:54.609194,Meter Issue,72,Bronx,10,Evening,Fall,Found Okay
2324,2025-07-01 12:00:54.609197,Power Out,56,Staten Island,103,Afternoon,Fall,Found Okay
2325,2024-12-06 12:00:54.609200,No Hot Water,49,Manhattan,138,Evening,Spring,Found Okay
2326,2024-10-25 12:00:54.609203,Power Out,36,Bronx,281,Afternoon,Winter,Found Okay
2327,2024-08-17 12:00:54.609207,No Hot Water,48,Queens,23,Afternoon,Fall,Found Okay
2328,2025-04-07 12:00:54.609210,No Heat,46,Brooklyn,104,Afternoon,Winter,Needs Repair
2329,2025-04-18 12:00:54.609213,No Heat,31,Staten Island,64,Night,Summer,Found Okay
2330,2025-04-04 12:00:54.609217,No Hot Water,46,Brooklyn,67,Afternoon,Summer,Found Okay
2331,2025-07-26 12:00:54.609220,No Hot Water,37,Staten Island,271,Evening,Winter,Found Okay
2332,2024-08-05 12:00:54.609223,Power Out,58,Queens,0,Night,Spring,Found Okay
2333,2024-11-25 12:00:54.609226,Power Out,69,Queens,248,Afternoon,Summer,Found Okay
2334,2024-08-01 12:00:54.609229,Gas Smell,31,Queens,299,Morning,Fall,Needs Repair
2335,2024-09-13 12:00:54.609233,Power Out,75,Queens,416,Night,Winter,Found Okay
2336,2025-04-01 12:00:54.609236,No Heat,48,Queens,177,Morning,Fall,Found Okay
2337,2024-10-18 12:00:54.609239,No Heat,35,Brooklyn,73,Afternoon,Fall,Found Okay
2338,2025-03-04 12:00:54.609243,Meter Issue,61,Manhattan,100,Evening,Summer,Found Okay
2339,2025-05-08 12:00:54.609246,No Heat,43,Bronx,629,Morning,Fall,Needs Repair
2340,2024-12-12 12:00:54.609249,No Heat,48,Brooklyn,383,Morning,Winter,Needs Repair
2341,2024-10-16 12:00:54.609252,Power Out,43,Bronx,112,Night,Spring,Found Okay
2342,2025-02-20 12:00:54.609256,No Hot Water,37,Manhattan,515,Morning,Summer,Found Okay
2343,2024-11-01 12:00:54.609259,Meter Issue,60,Staten Island,311,Afternoon,Summer,Found Okay
2344,2025-06-23 12:00:54.609262,No Heat,45,Manhattan,416,Night,Winter,Needs Repair
2345,2024-12-17 12:00:54.609265,No Heat,28,Manhattan,206,Morning,Spring,Found Okay
2346,2025-03-11 12:00:54.609268,No Hot Water,58,Staten Island,350,Evening,Spring,Found Okay
2347,2024-10-12 12:00:54.609272,Gas Smell,31,Bronx,400,Night,Fall,Needs Repair
2348,2025-03-02 12:00:54.609275,No Hot Water,32,Queens,17,Evening,Spring,Found Okay
2349,2025-04-08 12:00:54.609278,No Hot Water,67,Staten Island,604,Evening,Winter,Found Okay
2350,2024-12-06 12:00:54.609281,Meter Issue,32,Staten Island,73,Night,Spring,Found Okay
2351,2025-05-26 12:00:54.609284,Meter Issue,15,Manhattan,104,Morning,Spring,Found Okay
2352,2024-08-04 12:00:54.609288,No Heat,59,Staten Island,282,Morning,Fall,Found Okay
2353,2024-08-24 12:00:54.609291,No Hot Water,45,Brooklyn,196,Evening,Fall,Found Okay
2354,2024-11-15 12:00:54.609294,No Hot Water,46,Queens,402,Morning,Winter,Needs Repair
2355,2024-11-24 12:00:54.609301,Meter Issue,45,Manhattan,92,Night,Spring,Found Okay
2356,2024-09-03 12:00:54.609304,Meter Issue,53,Bronx,84,Evening,Spring,Found Okay
2357,2024-09-11 12:00:54.609308,No Heat,38,Bronx,5,Afternoon,Summer,Found Okay
2358,2025-02-01 12:00:54.609311,Power Out,72,Bronx,111,Afternoon,Spring,Found Okay
2359,2025-01-22 12:00:54.609314,No Hot Water,27,Bronx,231,Afternoon,Summer,Found Okay
2360,2025-02-27 12:00:54.609318,No Heat,56,Bronx,64,Morning,Fall,Found Okay
2361,2025-01-16 12:00:54.609321,No Heat,59,Manhattan,111,Afternoon,Fall,Found Okay
2362,2024-09-23 12:00:54.609324,No Hot Water,38,Brooklyn,44,Afternoon,Fall,Found Okay
2363,2024-11-11 12:00:54.609327,No Hot Water,34,Brooklyn,266,Evening,Summer,Found Okay
2364,2025-03-10 12:00:54.609331,No Heat,65,Bronx,11,Night,Summer,Needs Repair
2365,2024-08-23 12:00:54.609334,Power Out,35,Brooklyn,219,Evening,Summer,Found Okay
2366,2024-09-18 12:00:54.609337,No Heat,40,Queens,85,Evening,Spring,Found Okay
